Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Streaming Popularity,Total Streams
Say You Won't Let Go,Say You Won't Let Go,James Arthur,2016-09-09,DEE861600586,462,71.5,2830962669,"233,504","128,647,419",82.0,2083619058,"11,898,213","1,750,319",96711415,792720612,"1,446,089,800",218.0,"122,867",68,114.0,"616,176",52.0,662857879,"312,119",0,5869,,0,545084106.0,6370160218
Scared To Start,Scared To Start,Michael Marcagi,2024-01-12,USWB12400001,469,71.2,284119669,"23,417","101,687,677",84.0,14777855,"145,459",,509611,18832300,"290,887,958",71.0,"33,810",327,59.0,"8,912,821",67.0,25145649,"3,122",1957942,857426,,0,4036244.0,344833415
Something in the Orange,Something in the Orange,Zach Bryan,2022-04-22,USWB12201213,478,70.4,891578597,"134,151","56,220,971",82.0,121756122,"612,540","428,919",61522352,536850823,"545,454,569",78.0,8,86,37.0,"4,894,376",69.0,94783587,"127,557",13539327,1548284,,0,46206710.0,1658508456
AMARGURA,MA��ANA SER��,KAROL G,2023-02-24,USUM72222552,477,70.4,629102459,"31,206","51,913,972",81.0,317295184,"924,600","969,500",28700787,404330162,"814,335,857",45.0,"46,179",387,30.0,"3,549,738",23.0,38480759,"8,821",0,1252595,,1,86812161.75,1389208564
Fall Back,Fall Back / Selfish Game - Single,Lithe,2024-03-21,AUMEV2435468,485,70.1,78227549,"10,811","34,967,691",81.0,18048583,"346,316","1,827",366700,5400000,"10,740,206",59.0,604,,7.0,"10,139,201",36.0,350778,"1,442",2612424,1712744,,0,5032027.0,104639334
Regalo De Dios,PRESENTE,Juli��n ��lvarez y su Norte�,2023-11-17,QZ7HP2300092,498,68.9,205050873,"6,236","32,107,085",81.0,242715015,"1,024,215",,1660,20904,"1,291,400,606",7.0,"2,838",,8.0,"2,174,143",8.0,7709559,"5,232",0,750457,,0,60866803.25,455496351
Never Let Go,Never Let Go - Single,Jung Kook,2024-06-07,USA2P2431076,499,68.9,26891849,722,"63,940,453",81.0,5611228,"686,901",,0,0,,57.0,279,,25.0,"2,485,160",49.0,483333,20,0,32683,,0,1410998.0,32986410
One Dance,One Dance (feat. Wizkid & Kyla) - Single,Drake,2016-04-04,USCM51600028,518,67.9,3192204066,"379,853","131,832,723",82.0,456806913,"5,068,762","2,381,341",51227212,388544079,"6,670,180",550.0,"184,311",932,165.0,"1,383,884",97.0,714508129,"601,041",0,21316589,,0,132337699.0,4752063187
T�� ,Dolido Pero No Arrepentido - EP,Fuerza Regida,2024-02-09,QZ9QQ2400125,531,66.7,188154454,"6,068","47,264,152",82.0,124152999,"632,963",,2121100,27500000,"528,622,354",32.0,18,,13.0,"1,810,337",6.0,6288446,"4,696",0,445052,,0,31679808.25,346095899
goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,USSM11607555,549,65.5,2396737761,"381,756","90,317,118",82.0,1334796210,"12,947,143","1,025,273",181634476,1545294272,"202,525,787",210.0,"38,443",51,82.0,"2,173,347",30.0,350431346,"278,196",0,8025643,,1,381114102.75,5627259589
Belong Together,Belong Together - Single,Mark Ambor,2024-02-16,QM24S2400638,592,62.4,233969547,"19,001","153,692,182",87.0,15918146,"259,139",,569975,7383118,"71,148,977",84.0,,292,59.0,"30,602,918",76.0,2985129,"2,037",977217,1139490,,0,4406924.5,261233157
THE GREATEST,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401992,606,61.5,74533081,"4,192","13,299,713",84.0,4455957,"101,176",166,0,0,"934,654",60.0,408,1,8.0,"208,876",17.0,183715,381,763697,62349,,0,1129597.5,79936450
Europapa,Europapa,Joost,2024-02-29,NL4TG2400001,629,60.6,111170278,"12,493","25,123,151",81.0,50014053,"797,138","91,200",3125018,34861500,"4,715,872",27.0,"9,467",41,34.0,"1,098,059",12.0,17776,114,0,178197,,0,13329337.25,196063607
Feather,emails i can���t send fwd,Sabrina Carpenter,2023-03-17,USUM72301876,673,58.8,488979989,"32,825","79,636,817",84.0,88126911,"1,378,287","170,893",35176071,443060258,"756,672,096",60.0,"212,739",400,72.0,"5,800,066",37.0,14414933,"5,802",0,1261815,,1,31141220.25,1034582091
Tell Ur Girlfriend,Tell Ur Girlfriend,Lay Bankz,2024-02-07,QZZ4J2400019,730,56.7,167431139,"10,335","116,287,670",90.0,28987197,"443,524",,16577348,235871001,"148,521,798",26.0,"14,654",416,26.0,"8,022,044",52.0,579514,"5,469",2893625,932674,,1,11624327.25,435762476
THE DINER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401989,790,54.7,66101468,"3,693","9,878,576",84.0,4252419,"117,031",180,1800000,11200000,"934,654",45.0,195,16,5.0,"56,919",9.0,184455,248,685021,52008,,0,1526127.75,82423363
Sweater Weather,I'm Sorry...,The Neighbourhood,2012-01-01,USSM11300080,809,53.9,2916412507,"415,650","149,359,220",85.0,1648485745,"18,338,729","1,248,637",324536571,2911383718,"71,486,828",189.0,"61,334",39,114.0,"604,895",9.0,384534750,"719,472",2565635,0,,0,493255600.25,7863382355
Deja Vu,minisode 3: TOMORROW,TOMORROW X TOGETHER,2024-04-01,USA2P2408081,832,53.2,75894056,"2,524","11,857,367",84.0,70842688,"1,388,774",,14529171,59546295,"48,470,843",9.0,290,52,5.0,"295,059",21.0,348004,177,0,113020,,0,21371240.75,206631043
one of wun,One of Wun,Gunna,2024-05-10,USAT22403437,831,53.2,58469975,"7,073","108,431,155",82.0,4436805,"59,189",,0,0,"381,728",,,41,,,,0,,0,0,,1,1109221.75,62906780
Thank You (Not So Bad),Thank You (Not So Bad),Dimitri Vegas & Like Mike,2023-12-01,GBARL2301712,838,53.1,200151839,"32,776","133,835,796",82.0,11597448,"140,956",,0,0,,55.0,"26,872",,99.0,"10,753,176",39.0,1710983,370,0,1371435,,0,3242241.25,213460270
Counting Stars,Native (Standard),OneRepublic,2013-01-01,USUM71301306,892,51.1,2466006842,"343,135","114,346,295",81.0,304524339,"2,956,756","382,991",125290160,1245061983,"149,045,425",198.0,"237,316",170,138.0,"1,401,001",40.0,1394055006,"1,085,579",0,118910,,0,107483372.5,5409648170
offline,att.,Young Miko,2024-04-05,QZXD92300025,900,50.9,109149345,"8,869","89,312,461",82.0,21230788,"190,160",,0,0,"1,050,568",41.0,"2,232",56,23.0,"3,065,065",34.0,575037,201,0,267702,,1,5374643.0,130955170
End of Beginning,DECIDE,Djo,2022-09-16,GBKPL2205058,918,50.5,710784872,"64,517","191,969,474",90.0,44322144,"594,352","129,300",118218973,1027806256,"58,700,775",149.0,"94,468",501,133.0,"18,315,130",107.0,4025966,"5,291",0,3343993,,0,41471300.0,1786939238
favorite,favorite - EP,Isabel LaRosa,2024-03-29,USRC12400507,919,50.5,123802404,"7,364","40,769,771",82.0,21277734,"440,764",,2357131,20879200,"126,759,586",43.0,"1,815",,45.0,"394,030",44.0,333441,463,0,1040640,,0,6168896.75,166292779
Summer,Todo Exitos 2014 (Los N��mero 1 Del A,Calvin Harris,2014-01-01,GBARL1400296,935,49.8,1497564072,"255,037","105,180,321",81.0,1989930606,"8,740,440","1,293,032",116032171,1214191679,"322,680,506",225.0,"55,500",119,170.0,"1,740,585",36.0,332877611,"236,102",0,11380320,,0,529335794.5,5034563968
No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,USQX91402598,955,49.3,2235160830,"403,355","73,668,045",81.0,656310159,"4,852,226","744,556",138864977,885273359,"184,893,947",115.0,"11,860",61,41.0,"370,317",21.0,657042048,"203,470",0,5513979,,1,200172299.0,4433786396
"So Long, London",THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401032,"1,008",47.8,175613480,"4,454","20,883,678",84.0,15237337,"222,750",,247100,1510800,"24,074,850",29.0,774,,6.0,"284,806",27.0,2107786,"2,086",0,67886,,0,3888101.75,194469403
Mmhmm,Mmhmm,BigXthaPlug,2023-10-06,QZNMX2391413,"1,020",47.5,155648648,"28,131","46,683,719",82.0,27758776,"286,628","44,222",881868,7609548,"105,397,484",20.0,"23,720",203,1.0,"1,924",10.0,7238417,"2,385",5358274,479173,,1,7279974.75,203613663
BITTERSUITE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401987,"1,066",46.4,58810212,"3,394","9,510,078",87.0,0,,97,0,0,,31.0,146,,5.0,"159,005",9.0,161908,138,680392,104093,,0,26045.0,59652512
Nobody Gets Me,SOS,SZA,2022-12-09,USRC12204598,"1,091",45.9,561645790,"58,561","39,587,642",82.0,79127644,"867,545","61,070",32412474,220878489,"325,461,284",64.0,"61,047",293,40.0,"235,219",23.0,20725484,"11,445",3758963,1208187,,1,28187096.75,886136370
Pumped Up Kicks,Pumped up Kicks,Foster The People,2010-01-01,USSM11002931,"1,113",45.1,1791778314,"344,490","131,726,745",81.0,599930123,"5,713,061","786,192",342804034,2757623631,"19,949,320",195.0,"121,067",167,148.0,"1,029,351",46.0,777542552,"1,767,555",0,16415660,,0,239787474.5,5926874620
Nonsense,emails i can't send,Sabrina Carpenter,2022-07-15,USUM72210708,"1,129",44.8,817286460,"55,620","61,610,668",83.0,156580179,"1,685,462","179,864",36883907,357890160,"201,230,072",67.0,"108,203","1,122",20.0,"787,687",44.0,33407481,"8,860",0,1180048,,0,48661054.25,1365164280
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Highlights (Deluxe),The Weeknd,2021-02-05,USUG12303876,"1,142",44.5,812954133,"137,681","53,947,304",81.0,66369681,"851,906","564,129",71837599,797041217,"504,465,645",147.0,"78,013",7,43.0,"1,369,406",47.0,2985202,"7,888",8817729,6377668,,1,36146257.25,1688167962
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401030,"1,161",44.0,161916445,"3,784","17,036,800",83.0,13509432,"180,327",,0,0,,32.0,"1,456",,7.0,"176,069",27.0,2674527,"2,560",0,47529,,0,3389261.0,178100404
FRI(END)S,FRI(END)S,V,2024-03-15,USA2P2411822,"1,203",43.2,196612187,"3,800","44,868,049",85.0,38102046,"2,794,580",,2941,26700,"119,265,847",16.0,"5,014",95,33.0,"11,190,250",11.0,1934224,135,0,226475,,0,9582886.75,236675157
The Night We Met,The Night We Met,Lord Huron,2015-02-09,US53Q1200103,"1,226",42.7,2097181065,"286,668","123,211,490",84.0,807672690,"8,866,507","451,668",239330349,1722597041,"7,770,380",78.0,"11,224",43,49.0,"1,101,868",44.0,288302729,"147,940",2601964,8832956,,0,263959019.75,4918355489
Una Vida Pasada,Una Vida Pasada,Camilo,2024-04-02,USSD12400106,"1,249",42.4,50955386,"2,952","47,126,163",81.0,40003695,"294,012","11,400",3726119,40019764,"30,907,986",40.0,"4,576",,42.0,"3,315,443",19.0,845380,344,0,217303,,0,10986799.5,131824225
Elvira,Elvira,Oscar Maydon,2023-12-20,QZ9QQ2300978,"1,255",42.3,183146334,"8,183","47,711,465",81.0,97178744,"465,269",,0,0,"1,252,418,051",13.0,,,10.0,"2,291,939",19.0,1762919,"1,461",0,382419,,1,24390311.0,282087997
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Highlights (Deluxe),The Weeknd,2021-02-05,USUG12303881,"1,269",42.0,939627795,"67,381","127,728,248",87.0,371522364,"3,979,062","47,277",42074581,265186570,"596,597,973",61.0,"26,883",216,65.0,"10,250,543",23.0,6907370,"4,533",6332660,4254554,,0,104462896.5,1589576759
All The Stars (with SZA),All The Stars (with SZA),Kendrick Lamar,2018-01-04,USUM71713947,"1,304",41.2,1638529683,"207,686","66,120,497",82.0,633789787,"5,683,859","39,792",33196158,211875110,"75,594,850",152.0,"10,256",39,73.0,"194,391",52.0,139392569,"70,103",0,8746447,,1,168933118.5,2623587149
Like Crazy,FACE,Jimin,2023-03-24,USA2P2251865,"1,308",41.1,1165398518,"16,425","22,818,507",84.0,139608215,"4,239,579","20,340",5827931,25133495,"252,370,542",20.0,"7,682",12,38.0,"10,012,693",2.0,34061208,"1,010",0,830091,,0,36566580.25,1364201436
Cowgirls (feat. ERNEST),One Thing At A Time,Morgan Wallen,2023-03-03,USUG12300827,"1,371",40.1,266560481,"31,680","27,441,895",81.0,40534712,"139,755","47,800",8320521,103569548,"613,036,800",26.0,"31,216",24,15.0,"7,631,939",48.0,82896740,"25,969",4342886,357979,,0,12303323.25,497904367
Come back to me,Come back to me,RM,2024-05-10,USA2P2421306,"1,400",39.6,44991905,"1,389","24,249,059",84.0,14842438,"2,098,992","31,300",0,0,"124,294,603",16.0,393,,15.0,"621,509",8.0,224802,38,0,58013,,0,3725133.75,60059145
Love Me Again,Layover,V,2023-08-11,USA2P2339030,"1,402",39.5,626153696,"13,455","18,636,467",82.0,95442324,"4,491,977","213,624",54975210,335526234,"166,154,392",7.0,"3,016",19,16.0,"2,070,072",8.0,3209084,366,0,377532,,0,37698787.0,1060331338
See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",2017-07-21,USQX91701275,"1,456",38.4,1610423351,"283,537","75,314,202",84.0,345975070,"4,492,100","265,876",153478678,832654007,"21,871,961",99.0,"5,055",180,57.0,"714,087",32.0,13113654,"43,422",3586900,3197618,,1,125662862.5,2805752982
Lover,Lover,Taylor Swift,2019-08-16,USUG11901473,"1,507",37.8,1413268808,"104,435","94,697,921",81.0,492503095,"6,305,357","400,078",142555742,921980357,"445,323,991",201.0,"74,209",33,54.0,"1,301,097",91.0,63095932,"101,424",0,4309604,,0,159842130.5,2890848192
Shut Up and Dance,Full Circle: The Live Anthology,WALK THE MOON,2011-11-20,USRC11401949,"1,530",37.6,1690450389,"225,204","121,786,733",81.0,679433670,"4,181,978","564,763",31046688,201004524,"213,087,375",270.0,"332,763",806,113.0,"505,069",66.0,537982216,"824,867",0,11303352,,0,180445947.75,3108870799
Locked Out Of Heaven,NRJ 200% Hits 2013,Bruno Mars,2012-01-01,USAT21203287,"1,602",36.6,2004657631,"277,766","134,689,771",83.0,1400581749,"9,714,447","49,296",11894522,91255671,"1,689,353,351",150.0,"378,433",291,214.0,"1,260,461",51.0,0,,29413705,715420,,0,353297943.5,3525908756
Apocalypse,Apocalypse,Cigarettes After Sex,2017-03-21,USBQU1700034,"1,628",36.3,1305189811,"259,761","79,958,707",82.0,237610293,"2,556,677","126,427",67441717,435331773,"5,708,240",64.0,"5,105",53,30.0,"219,837",42.0,20133868,"17,745",30727101,4881850,,1,77483485.5,2028992846
El Boss,El Boss,Gabito Ballesteros,2024-03-28,USA2P2415440,"1,746",34.9,81942319,"3,580","30,332,860",84.0,34566311,"283,283",,0,0,,10.0,1,,4.0,"1,104,753",16.0,460206,191,0,71332,,1,8659431.75,116968836
In the End,Hybrid Theory (Bonus Track Version),Linkin Park,2000-10-24,USWB10002407,"1,803",34.3,2045512421,"324,745","99,290,558",82.0,2375021286,"17,765,456","522,553",63993059,729532806,"1,256,171,581",16.0,"186,149",357,117.0,"1,481,082",52.0,832288547,"304,965",29420155,26145,,0,609760143.0,6011775215
Do I Wanna Know?,AM,Arctic Monkeys,2013-01-01,GBCEL1300362,"1,837",33.9,2188592950,"361,827","91,030,520",81.0,457550865,"4,610,448","13,917",12237124,71629637,"56,377",149.0,"2,204",71,103.0,"706,652",34.0,308026596,"156,277",0,10708249,,0,120124079.75,3025800048
Another Love,Songs from Another Love,Tom Odell,2012-01-01,GBARL1300107,"1,842",33.9,2444335468,"380,675","168,483,196",83.0,996981745,"9,104,648","452,786",77257465,714451407,"858,018,753",137.0,"36,017",8,195.0,"16,139,369",30.0,0,,0,0,,1,268559823.25,4155768620
"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Greatest Hits,Pitbull,2009-01-01,USJAY1100032,"1,898",33.3,1164166623,"262,779","103,712,117",81.0,1332702041,"6,176,607","142,435",20425129,225165270,"1,458,438,173",120.0,348,29,82.0,"517,742",19.0,595162539,"451,894",0,16112049,,0,342309825.0,3317196473
Shut up My Moms Calling,Shut up My Moms Calling - Single,Hotel Ugly,2020-02-10,TCAEQ2083509,"1,983",32.4,864865822,"155,446","25,122,611",82.0,119059085,"1,543,311","391,311",189326209,1722108635,"4,587,987",3.0,"1,966",593,5.0,"32,782",13.0,1293279,"6,227",5129020,1727338,,0,77528178.5,2712455841
intro (end of the world),eternal sunshine,Ariana Grande,2024-03-08,USUM72317270,"2,090",31.5,216386557,"6,696","14,339,377",82.0,4613304,"63,775",,0,0,,15.0,140,,1.0,"12,028",7.0,177763,317,0,367285,,1,1245167.75,221177624
Night Changes,FOUR (Deluxe),One Direction,2014-11-17,GBHMU1400165,"2,179",30.7,1548151634,"154,325","92,409,509",83.0,948760574,"9,009,457","741,824",207100684,1820024186,"1,693,474,545",66.0,"9,645",17,36.0,"231,749",19.0,113124423,"72,174",0,5939223,,0,290450141.0,4430060817
Sure Thing,All I Want Is You,Miguel,2010-05-25,USJI10800160,"2,362",29.3,1335928309,"190,857","100,835,580",81.0,165856240,"1,428,581","235,546",71440021,595426317,"69,346,849",154.0,"471,442","1,200",84.0,"7,801,382",54.0,743204828,"586,356",0,8783890,,0,61520058.0,2840415694
Dandelions,Dandelions,Ruth B.,2017-04-28,USSM11703468,"2,383",29.2,1561518107,"183,674","67,708,124",82.0,96339252,"1,072,061","2,320,661",904381932,7603775552,,40.0,"16,685",119,63.0,"404,143",9.0,18672545,"54,931",541064,4364553,,0,251271454.75,9280846520
I Love You So,I Love You So,The Walters,2014-11-28,TCACC1438995,"2,394",29.2,1410353130,"218,492","59,487,193",83.0,417265571,"5,087,140","744,614",445675563,3241952947,"11,148,737",38.0,"43,972",652,29.0,"677,739",31.0,10212607,"16,340",25431145,3007369,,0,216487146.5,5105215400
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,2024-04-19,USUG12402544,"2,478",28.6,97601615,"3,397","13,075,013",87.0,5528058,"78,517",,2761040,17893741,,18.0,187,,,,50.0,1393596,"1,657",0,0,,0,2072296.25,122417010
Poco A Poco,Poco A Poco - Single,Xavi,2023-09-23,USA2P2344729,"2,514",28.3,283079113,"15,570","15,950,378",82.0,41149970,"328,843","84,726",9560738,60287119,,7.0,118,,11.0,"13,607,485",3.0,4030323,"2,105",0,271176,,0,12745491.5,388546525
Pink + White,Blonde,Frank Ocean,2016-08-20,QZ5C81600003,"2,642",27.4,1299650856,"228,950","71,708,447",83.0,158016588,"1,286,636","130,802",68303456,442090971,"455,453",163.0,"6,091",221,46.0,"1,275,701",41.0,24819579,"19,292",9043608,2187716,,0,57126960.75,1933621602
Apaga El Cel,Apaga El Cel,Calle 24,2023-12-22,USDXS2304292,"2,778",26.6,145975016,"6,115","16,399,686",82.0,54043783,"310,905",,0,0,"1,098,765,819",4.0,,,5.0,"1,265,523",8.0,0,,0,326991,,0,13592714.0,200018799
The Real Slim Shady,The Source Hip-Hop Hits Vol. 4,Eminem,2000-01-01,USIR10000448,"2,796",26.5,1798020679,"352,947","75,283,550",81.0,961666231,"7,927,293","74,682",86740640,771015965,"568,968,886",93.0,"70,311",82,68.0,"2,765,272",46.0,508575450,"1,263,577",1131521,6637985,,1,263761234.25,4040409846
drunk text,drunk text,Henry Moodie,2023-01-27,GBARL2202513,"2,961",25.6,238841927,"21,346","34,578,100",81.0,116840454,"948,904","20,779",4155809,75170850,"472,723,306",25.0,"10,016",3,14.0,"191,813",16.0,156080,275,0,705603,,0,30425486.75,431009311
Without Me,The Source - Hip Hop Hits Vol. 6,Eminem,2002-01-01,USIR10211038,"3,210",24.3,2146682342,"397,228","83,160,830",83.0,347730526,"3,552,978","761,633",27141268,177890147,"22,608,265",118.0,"2,668",69,83.0,"2,953,010",38.0,424694899,"223,248",36224403,13371463,,1,97060835.0,3133222317
Mr. Brightside,Hot Fuss,The Killers,2004-01-01,USIR20400274,"3,346",23.7,2174022106,"326,294","118,562,432",81.0,183968852,"1,687,112","95,566",41707356,294739225,"3,411,865",293.0,"210,197",217,117.0,"1,001,045",51.0,782100080,"350,688",0,8538303,,0,58553648.0,3434830263
A Sky Full of Stars,Los N��meros 1 De 40 (El Disco De Los ��,Coldplay,2014-01-01,GBAYE1400217,"3,421",23.4,1490987063,"203,270","92,755,562",81.0,395515510,"2,684,342","971,368",157727782,1583375110,"8,447,636",12.0,"167,558",136,308.0,"906,029",39.0,0,,0,0,,0,138310843.25,3469877683
I Wanna Be Yours,AM,Arctic Monkeys,2013-01-01,GBCEL1300373,"3,597",22.6,2185240293,"277,753","129,062,801",86.0,109538379,"1,268,458","2,636",16502076,105020737,,39.0,"2,746",,36.0,"2,608,421",35.0,38918532,"20,659",0,4280207,,0,32580187.0,2438717941
Revenge,17,XXXTENTACION,2017-08-25,USUYG1156895,"3,867",21.7,1356969354,"184,465","30,276,013",81.0,910676,"22,351","81,626",56122006,401420595,,7.0,147,,4.0,"164,055",5.0,27265488,"34,655",0,2258367,,1,14822782.5,1786566113
Mockingbird,Encore (Deluxe),Eminem,2004-11-12,USIR10400813,"3,983",21.4,1680919413,"293,385","44,640,604",82.0,244059770,"2,900,004","12,730",8273097,76886329,"228,292",79.0,"13,192",5,31.0,"722,512",15.0,520681974,"406,631",0,9764188,,1,65524284.25,2522547486
Seven Nation Army,Elephant,The White Stripes,2003-01-01,USVT10300001,"4,030",21.2,1657866786,"206,953","64,036,444",81.0,339571990,"4,052,894","263,920",137323740,1394903550,"5,268,188",275.0,"184,079",124,86.0,"972,676",110.0,912422054,"566,339",0,10108433,,0,121751061.0,4304764380
When I Was Your Man,Unorthodox Jukebox,Bruno Mars,2012-12-07,USAT21206701,"4,187",20.7,2106040891,"231,184","111,114,931",81.0,275768987,"2,172,034","237,576",72740220,624816222,"27,825,601",104.0,"152,868",228,184.0,"1,054,128",39.0,0,,0,0,,0,87127322.0,3006626100
From The Start,Bewitched,Laufey,2023-09-08,QMDA62312093,"4,371",20.1,367151355,"16,239","5,016,080",82.0,0,,,0,0,,,,,,,,0,,0,0,,0,20.5,367151355
